,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
122,ndago,75,BI,1572918019,60,-3.88,29.65,68.76,4.81
123,saint-joseph,40,FR,1572918020,93,43.56,6.97,60.01,2.24
124,jamestown,31,AU,1572917973,19,-33.21,138.6,71.91,13.04
125,khani,93,GE,1572918020,43,41.96,42.96,55.4,19.46
126,newport,90,GB,1572917733,93,51.59,-3.0,50.0,16.11
127,alice springs,2,ZA,1572918020,96,-32.79,26.83,49.41,2.84
128,concepcion del oro,100,CO,1572918020,93,9.56,-73.66,74.43,2.73
129,harper,1,US,1572918020,73,30.3,-99.24,69.8,15.82
130,hobart,75,AU,1572917792,33,-42.88,147.33,60.01,19.46
131,maceio,40,BR,1572918021,94,-9.67,-35.74,73.4,3.36
132,honningsvag,100,NO,1572918021,71,70.98,25.97,36.97,12.48
133,cao bang,20,ES,1572918021,66,43.14,-5.7,55.99,16.11
134,nikolskoye,90,RU,1572918022,80,59.7,30.79,34.0,15.66
135,chauk,0,MM,1572918022,72,20.89,94.82,80.73,6.85
136,corinto,40,CO,1572918023,83,3.17,-76.26,71.6,8.05
137,ust-kuyga,42,RU,1572918023,83,70.0,135.55,-1.07,6.67
138,kpandae,1,GH,1572918023,84,8.46,-0.01,76.12,4.54
139,vao,100,EE,1572917904,76,59.1,26.19,33.49,13.13
140,port alfred,91,CD,1572918023,66,-7.04,29.76,79.0,3.67
141,jaru,14,BR,1572918023,84,-10.43,-62.48,74.71,2.39
142,dunedin,100,NZ,1572918024,62,-45.87,170.5,64.0,5.01
143,longyearbyen,20,NO,1572918024,66,78.22,15.63,12.2,14.99
144,singkang,75,MY,1572918024,78,2.1,102.8,82.4,3.02
145,victoria,75,BN,1572918024,70,5.28,115.24,86.0,5.82
146,lavrentiya,0,RU,1572917894,74,65.58,-170.99,26.58,6.85
147,bodmin,40,GB,1572918025,87,50.47,-4.72,52.0,12.75
148,bandarbeyla,100,SO,1572918025,79,9.49,50.81,80.8,15.08
149,saskylakh,25,RU,1572918025,95,71.97,114.09,-16.19,4.29
150,rudnya,98,RU,1572918025,89,50.8,44.56,43.65,18.79
151,khatanga,99,RU,1572918026,94,71.98,102.47,1.72,13.44
152,matamoros,1,US,1572918026,83,25.87,-97.51,75.99,5.82
153,imbituba,75,BR,1572918026,100,-28.24,-48.67,71.6,8.05
154,ous,100,RU,1572918026,97,60.91,61.52,34.05,9.82
155,zaysan,100,KZ,1572918027,64,47.47,84.87,43.21,2.93
156,hofn,100,IS,1572918027,95,64.25,-15.21,34.52,7.16
157,cadoneghe,76,IT,1572918027,93,45.44,11.92,57.99,5.82
158,bathsheba,20,BB,1572918028,78,13.22,-59.52,82.4,19.46
159,port elizabeth,91,CD,1572918028,66,-7.04,29.76,79.0,3.67
160,sabang,100,PH,1572918028,77,13.8,121.11,86.0,5.01
161,manta,24,RO,1572918028,95,45.1,24.1,46.33,2.89
162,nouakchott,68,MR,1572917802,26,18.08,-15.98,80.6,13.87
163,chhuikhadan,46,IN,1572918028,64,21.52,81.0,76.5,5.44
164,celestun,0,MX,1572918029,80,20.87,-90.4,81.43,18.01
165,butterworth,75,MY,1572918029,88,5.4,100.37,84.2,4.7
166,macieira de cambra,0,BR,1572918029,96,-26.85,-51.38,64.92,3.96
167,peterhead,75,AU,1572918029,51,-34.83,138.5,68.0,13.87
168,laguna,20,BZ,1572917911,88,16.17,-88.94,77.0,1.39
169,bilma,0,NE,1572918029,20,18.69,12.92,75.38,6.62
170,kodiak,90,US,1572918029,60,39.95,-94.76,46.0,6.93
171,flinders,75,AU,1572918030,51,-34.58,150.85,66.0,10.29
172,bielsk podlaski,75,PL,1572918030,93,53.14,18.9,48.99,9.17
173,kohlu,0,PK,1572918030,31,29.9,69.25,61.84,2.39
